url,title,authors,summary,cited_by,pdf_url,pdf_path,founds,status
http://journals.aps.org/prl/abstract/10.1103/PhysRevLett.70.1895,Teleporting an unknown quantum state via dual classical and Einstein-Podolsky-Rosen channels,"CH Bennett, G Brassard, C Crépeau, R Jozsa, A Peres… - Physical review  …, 1993 - APS","Abstract An unknown quantum state‖ φ> can be disassembled into, then later reconstructed from, purely classical information and purely nonclassical Einstein-Podolsky-Rosen (EPR) correlations. To do so the sender,''Alice,''and the receiver,''Bob,''must  ...",10368,http://link.aps.org/pdf/10.1103/PhysRevLett.70.1895,pdfs\1.pdf,,ERROR
,[CITATION][C] On the einstein-podolsky-rosen paradox,"JS Bell - Physics, 1964 - World Scientific",,9430,http://cds.cern.ch/record/111654/files/vol1p195-200_001.pdf,pdfs\2.pdf," S.  BELLt   (Received 4 November  1964)   I.  Introduction   THE  paradox  of Einstein,  Podolsky  and  Rosen  [1]",OK
http://journals.aps.org/prl/abstract/10.1103/PhysRevLett.67.661,Quantum cryptography based on Bell's theorem,"AK Ekert - Physical review letters, 1991 - APS",Abstract Practical application of the generalized Bell's theorem in the so-called key distribution process in cryptography is reported. The proposed scheme is based on the Bohm's version of the Einstein-Podolsky-Rosen gedanken experiment and Bell's theorem  ...,7045,,,,ERROR
https://books.google.com/books?hl=en&lr=&id=0mVEBJ34v9EC&oi=fnd&pg=PP2&ots=fvOFkXnQGS&sig=GFZlhwWGzUQ62IjPGmsSUc10acA,"[BOOK][B] The emperor's new mind: Concerning computers, minds, and the laws of physics",R Penrose - 1999 - books.google.com,"For decades, proponents of artificial intelligence have argued that computers will soon be doing everything that a human mind can do. Admittedly, computers now play chess at the grandmaster level, but do they understand the game as we do? Can a computer  ...",5581,http://www.cs.bham.ac.uk/research/projects/cogaff/penrose-review-lms.pdf,pdfs\4.pdf,,OK
https://books.google.com/books?hl=en&lr=&id=3gA6E1zdTw0C&oi=fnd&pg=PR9&ots=_xg0tpbpJr&sig=YIZOWGCFjl9F9RMB20HSAtg3-G4,[BOOK][B] Wholeness and the implicate order,D Bohm - 2002 - books.google.com,"David Bohm was one of the foremost scientific thinkers and philosophers of our time. Although deeply influenced by Einstein, he was also, more unusually for a scientist, inspired by mysticism. Indeed, in the 1970s and 1980s he made contact with both J. Krishnamurti  ...",5088,http://ir.nmu.org.ua/bitstream/handle/123456789/145184/dad20c469519bcb675b3df3fb207554e.pdf?sequence=1,pdfs\5.pdf,,OK
http://journals.aps.org/rmp/abstract/10.1103/RevModPhys.74.145,Quantum cryptography,"N Gisin, G Ribordy, W Tittel, H Zbinden - Reviews of modern physics, 2002 - APS","Abstract Quantum cryptography could well be the first application of quantum mechanics at the single-quantum level. The rapid progress in both theory and experiment in recent years is reviewed, with emphasis on open questions and technological issues.",5022,http://arxiv.org/pdf/quant-ph/0101098,pdfs\6.pdf,"Intellec- tually, it is very satisfactory to see this direct connec- tion to the famous EPR paradox (Einstein, Podolski and Rosen 1935)",OK
http://journals.aps.org/prl/abstract/10.1103/PhysRevLett.23.880,Proposed experiment to test local hidden-variable theories,"JF Clauser, MA Horne, A Shimony, RA Holt - Physical review letters, 1969 - APS","Abstract A theorem of Bell, proving that certain predictions of quantum mechanics are inconsistent with the entire family of local hidden-variable theories, is generalized so as to apply to realizable experiments. A proposed extension of the experiment of Kocher and  ...",4737,,,,ERROR
http://journals.aps.org/rmp/abstract/10.1103/RevModPhys.62.251,Reaction-rate theory: fifty years after Kramers,"P Hänggi, P Talkner, M Borkovec - Reviews of Modern Physics, 1990 - APS","Abstract The calculation of rate coefficients is a discipline of nonlinear science of importance to much of physics, chemistry, engineering, and biology. Fifty years after Kramers' seminal paper on thermally activated barrier crossing, the authors report, extend, and interpret  ...",4444,ftp://orthodox-hub.ru/books/_%D4%E8%E7%E8%EA%E0_%CC%E0%F2%E5%EC%E0%F2%E8%EA%E0/RevModPhys/RevModPhys%201984-2008/root/data/RevModPhys%201984-2008/pdf/RMP/v062/RMP_v062_p0251.pdf,pdfs\8.pdf,,ERROR
http://www.nature.com/nature/journal/v390/n6660/abs/390575a0.html,Experimental quantum teleportation,"D Bouwmeester, JW Pan, K Mattle, M Eibl, H Weinfurter… - Nature, 1997 - nature.com","Abstract Quantum teleportation—the transmission and reconstruction over arbitrary distances of the state of a quantum system—is demonstrated experimentally. During teleportation, an initial photon which carries the polarization that is to be transferred and  ...",4168,http://www.nature.com/nature/journal/v390/n6660/full/390575a0.html,pdfs\9.pdf,,ERROR
http://journals.aps.org/prl/abstract/10.1103/PhysRevLett.69.2881,Communication via one-and two-particle operators on Einstein-Podolsky-Rosen states,"CH Bennett, SJ Wiesner - Physical review letters, 1992 - APS","Abstract As is well known, operations on one particle of an Einstein-Podolsky-Rosen (EPR) pair cannot influence the marginal statistics of measurements on the other particle. We characterize the set of states accessible from an initial EPR state by one-particle  ...",4123,http://hexagon.physics.wisc.edu/teaching/2014f%20ph805%20quantum%20information/papers/bennett%20wiesner%20superdense%20coding%20prl%201992.pdf,pdfs\10.pdf,,OK
